ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,label (bona fide),HMDB ids,KEGG ids,other ids
1,57.03414601564255,5707.785897817395,0.0004420843574521882,C3H6O,-H(-),Acetone,HMDB0001659; HMDB0003366; HMDB0031652; HMDB01659; HMDB03366; HMDB31652,C00207; C00479; C02001,CHEBI:15347; CHEBI:16605; CHEBI:17153
2,59.01363551642687,64567.272550436894,0.00021718357312749959,C2H4O2,-H(-),Acetatic acid,HMDB0000042; HMDB0003344; HMDB00042; HMDB02165; HMDB03344,C00033; C00266,CHEBI:15366; CHEBI:17071
3,67.01892597113027,1157.7517222181757,1.2128869727234814e-05,C4H4O,-H(-),Butynal,HMDB0006853; HMDB06853; HMDB06945,C06145,CHEBI:28180
4,67.03015790122701,2449.9076638052616,1.3598772980571994e-05,C3H4N2,-H(-),Imidazole,HMDB0001525; HMDB01525,C01589,CHEBI:16069
5,68.05044899384652,2064.966678512349,0.00012350615348566407,C4H7N,-H(-),1-Pyrrolinium,HMDB0060246; HMDB60246,,
6,70.02975235036979,2600.735501799878,8.474963020432824e-05,C3H5NO,-H(-),Acrylamide,HMDB0004296; HMDB04296,C01659,CHEBI:28619
7,71.01388718408982,11225.15708091345,-3.448408982364981e-05,C3H4O2,-H(-),Propenoic acid C3:1,HMDB0001167; HMDB0006112; HMDB0031647; HMDB01167; HMDB06112; HMDB31647,C00511; C00546; C19440,CHEBI:17158; CHEBI:18308; CHEBI:566274
8,71.04999513285503,1217.2972406793936,0.0002429671449704074,C4H8O,-H(-),Butanal,HMDB0000246; HMDB0000474; HMDB0003543; HMDB00246; HMDB0031243; HMDB0031324; HMDB0034431; HMDB00474; HMDB03543; HMDB31243; HMDB31324; HMDB34431,C01412; C02845; C03219,; CHEBI:15743; CHEBI:26911; CHEBI:28398; CHEBI:48943
9,72.99316419564869,986.6656337325167,-4.689564869408969e-05,C2H2O3,-H(-),Glyoxylic acid,HMDB0000119; HMDB00119,C00048,CHEBI:16891
9,72.99316419564869,986.6656337325167,-0.00010694467212601921,C2H3NS,-H(-) [+1],Methyl isothiocyanate,HMDB0034106; HMDB34106,C18587,CHEBI:78337
10,73.02950806816,5830.927404177966,-5.368160003627054e-06,C3H6O2,-H(-),C3:0 (Propionic acid),HMDB0000237; HMDB0003052; HMDB0003453; HMDB0006458; HMDB00237; HMDB0031523; HMDB03052; HMDB03453; HMDB06458; HMDB06949; HMDB31523,C00163; C00424; C00937; C00969; C17530,; CHEBI:17167; CHEBI:17871; CHEBI:18041; CHEBI:30768
11,73.03993212285756,1985.4653813284206,0.000803977142425083,C2H6N2O,-H(-),Acetylhydrazine,HMDB0031419; HMDB0060428; HMDB0062472; HMDB31419; HMDB60428; HMDB62472,C07447; C14704,; CHEBI:2422; CHEBI:35807; CHEBI:42843
12,74.02477164518153,23059.805074266067,-1.9945181534808398e-05,C2H5NO2,-H(-),Glycine,HMDB0000123; HMDB00123; HMDB0014691; HMDB0031239; HMDB14691; HMDB31239,C00037; C06808,; CHEBI:15428; CHEBI:27777
13,75.00874650676828,2183.7845831474374,2.0793231726656813e-05,C2H4O3,-H(-),Glycolate,HMDB0000115; HMDB00115; HMDB0031608; HMDB03035; HMDB31608,C00160,; CHEBI:17497
13,75.00874650676828,2183.7845831474374,-0.0009568949518694581,C3H6S,-H(-) [+2],2-Propene-1-thiol,HMDB0031635; HMDB31635,,
14,75.02817264710389,493.1191029015072,-0.0007784471038831953,C3H8S,-H(-),Ethyl methyl sulfide,HMDB0031238; HMDB0031634; HMDB0034238; HMDB31238; HMDB31634; HMDB34238,C08390; C08391,; CHEBI:8473; CHEBI:8474
14,75.02817264710389,493.1191029015072,-0.0009051910491990611,C2H5NO2,-H(-) [+1],Glycine,HMDB0000123; HMDB00123; HMDB0014691; HMDB0031239; HMDB14691; HMDB31239,C00037; C06808,; CHEBI:15428; CHEBI:27777
15,77.03970454623696,1731.7340509073558,-3.104623696970066e-05,C6H6,-H(-),Benzene,HMDB0001505; HMDB01505,C01407,CHEBI:16716
16,79.95743164726126,16652.775619500044,-6.864726127275844e-05,HO3S,-H(-),Hydrogen sulfite,HMDB0001033; HMDB01033; HMDB03008,C11481,CHEBI:17137
17,80.96291075431395,10296.090455371901,-0.0006063543139589456,ClHNO2,-H(-),nitryl chloride,HMDB0062505; HMDB62505,,
18,81.04586276453688,493.28916653514676,-4.126453687547382e-05,C4H6N2,-H(-),Fomepizole,HMDB0015344; HMDB15344,C07837,CHEBI:5141
19,83.05026318399091,2679.5777563116067,-2.508399090572766e-05,C5H8O,-H(-),Methyl propenyl ketone,HMDB0001184; HMDB0012157; HMDB0031407; HMDB0031512; HMDB0031530; HMDB0031601; HMDB0031606; HMDB0031607; HMDB0032458; HMDB0037788; HMDB0040584; HMDB01184; HMDB12157; HMDB31407; HMDB31512; HMDB31530; HMDB31601; HMDB31606; HMDB31607; HMDB32458; HMDB37788; HMDB40584,C00557; C07330,; CHEBI:15825; CHEBI:16486; CHEBI:51678; CHEBI:51679; CHEBI:87508; CHEBI:88419
20,84.04551917027472,1062.960955284535,-3.207027471319179e-05,C4H7NO,-H(-),Acetone cyanohydrin,HMDB0002039; HMDB0060427; HMDB02039; HMDB60427,C11118,; CHEBI:15348; CHEBI:36592
21,84.08194151270075,300.78933807210046,-6.90127007629826e-05,C5H11N,-H(-),Piperidine,HMDB0034301; HMDB34301,C01746,CHEBI:18049
22,85.0295374907366,12217.711861707987,-3.4790736606282735e-05,C4H6O2,-H(-),Succinic aldehyde,HMDB0000549; HMDB0002523; HMDB0003407; HMDB0010720; HMDB0031209; HMDB0033977; HMDB0034439; HMDB00549; HMDB02523; HMDB03407; HMDB10720; HMDB31209; HMDB33977; HMDB34439,C00741; C01770; C01771; C19309; C19443,; CHEBI:16583; CHEBI:36253; CHEBI:41131; CHEBI:42639; CHEBI:46916
