ionIdx,ionMz,ionAverageInt,Top annotation formula,Top annotation ion
1,57.03414601564255,5707.785897817395,C3H6O,-H(-)
2,59.01363551642687,64567.272550436894,C2H4O2,-H(-)
3,67.01892597113027,1157.7517222181757,C4H4O,-H(-)
4,67.03015790122701,2449.9076638052616,C3H4N2,-H(-)
5,68.05044899384652,2064.966678512349,C4H7N,-H(-)
6,70.02975235036979,2600.735501799878,C3H5NO,-H(-)
7,71.01388718408982,11225.15708091345,C3H4O2,-H(-)
8,71.04999513285503,1217.2972406793936,C4H8O,-H(-)
9,72.99316419564869,986.6656337325167,C2H2O3,-H(-)
10,73.02950806816,5830.927404177966,C3H6O2,-H(-)
11,73.03993212285756,1985.4653813284206,C2H6N2O,-H(-)
12,74.02477164518153,23059.805074266067,C2H5NO2,-H(-)
13,75.00874650676828,2183.7845831474374,C2H4O3,-H(-)
14,75.02817264710389,493.1191029015072,C3H8S,-H(-)
15,77.03970454623696,1731.7340509073558,C6H6,-H(-)
16,79.95743164726126,16652.775619500044,HO3S,-H(-)
17,80.96291075431395,10296.090455371901,ClHNO2,-H(-)
18,81.04586276453688,493.28916653514676,C4H6N2,-H(-)
19,83.05026318399091,2679.5777563116067,C5H8O,-H(-)
20,84.04551917027472,1062.960955284535,C4H7NO,-H(-)
21,84.08194151270075,300.78933807210046,C5H11N,-H(-)
22,85.0295374907366,12217.711861707987,C4H6O2,-H(-)
23,86.0248850622908,1045.5258561514022,C3H5NO2,-H(-)
24,87.0087081705587,6067.563737260566,C3H4O3,-H(-)
25,88.04041917211693,10417.354788423143,C3H7NO2,-H(-)
26,89.02434576113781,34423.93536209107,C3H6O3,-H(-)
27,89.04306910230144,3306.707419940073,C4H10S,-H(-)
28,90.01895365541725,1427.7267967238784,C2H5NO3,-H(-)
29,91.05542659149576,5001.682012511096,C7H8,-H(-)
30,92.05073183052242,1838.858707807725,C6H7N,-H(-)
31,93.04603005321253,35046.35257318246,C5H6N2,-H(-)
32,94.02987876279546,8116.32832816912,C5H5NO,-H(-)
33,94.98071363004189,202979.2324793388,H4O4Si,-H(-)
34,95.01398029538578,13285.963931680437,C5H4O2,-H(-)
35,95.05030066008497,2627.099359507361,C6H8O,-H(-)
36,96.96942604684983,470989.9632859848,H3O4P,-H(-)
37,97.06524769873116,7614.760778444873,C6H10O,-H(-)
38,98.02484880641342,5453.906190731532,C4H5NO2,-H(-)
39,99.04561239547346,15256.907068758072,C5H8O2,-H(-)
40,100.02260029027995,3282.728404313824,C4H7NS,-H(-)
41,100.04048514967549,5066.6579012383245,C4H7NO2,-H(-)
42,101.02457710639767,25608.2262431237,C4H6O3,-H(-)
43,101.04276146745171,5776.41728515894,C5H10S,-H(-)
44,101.04872838419845,4465.145831001959,C4H8NO2,-H(-)
45,101.06087049938816,14737.821503168043,C5H10O2,-H(-)
46,102.03834396267703,2352.7586354575587,C4H9NS,-H(-)
47,102.05606620314617,65391.07376432509,C4H9NO2,-H(-)
48,103.00346801542483,5041.3587996561855,C3H4O4,-H(-)
49,103.02225412138742,4066.1608354303867,C4H8OS,-H(-)
50,103.03995878905957,26315.101696681842,C4H8O3,-H(-)
51,104.03551361900254,43759.146724094455,C3H7NO3,-H(-)
52,105.01945523086881,8248.294820966235,C3H6O4,-H(-)
53,105.03802297634077,8304.972097680531,C4H10OS,-H(-)
54,105.07103654586044,922.9498618133966,C8H10,-H(-)
55,107.05023152400163,62768.48664214445,C7H8O,-H(-)
56,108.04544774179098,6623.4811857949135,C6H7NO,-H(-)
57,109.01205591754173,3994.676114107427,C6H6S,-H(-)
58,109.02948320076318,22376.88668989325,C6H6O2,-H(-)
59,109.04096039446851,11724.142978071193,C5H6N2O,-H(-)
60,109.06564731163319,3150.7888262248734,C7H10O,-H(-)
61,110.03611604791942,82511.48531735376,C4H5N3O,-H(-)
62,110.07253134663362,15170.740752105246,C5H9N3,-H(-)
63,111.00891559061635,29928.535931349004,C5H4O3,-H(-)
64,111.02019422752922,72730.39415342206,C4H4N2O2,-H(-)
65,112.02354495733633,3986.4689000856847,C5H7NS,-H(-)
66,112.03884677525257,3511.0682006467373,C5H7NO2,-H(-)
67,112.05170372158567,47869.48091003439,C4H7N3O,-H(-)
68,113.02447464750492,34485.06202516573,C5H6O3,-H(-)
69,113.03577999839133,43721.10779534745,C4H6N2O2,-H(-)
70,114.05623515307857,382707.23223107774,C5H9NO2,-H(-)
71,115.00385887931147,13179.890647012207,C4H4O4,-H(-)
72,115.05948696263064,27634.13744549893,C6H12S,-H(-)
73,116.05073956661,151112.00913580685,C8H7N,-H(-)
74,116.07181142358168,927762.9559220384,C5H11NO2,-H(-)
75,117.01947273839502,20663.559959228656,C4H6O4,-H(-)
76,117.07517210526827,53001.09500828491,C6H14S,-H(-)
77,118.05115775306948,74679.30599143264,C4H9NO3,-H(-)
78,119.0172492712797,31244.09112327285,C4H8O2S,-H(-)
79,119.03554784895628,47349.05746649019,C4H8O4; C5H4N4,-H(-); -H(-)
80,119.05070984294547,52901.317199509285,C8H8O,-H(-)
81,120.01255114096267,22498.989441478414,C3H7NO2S,-H(-)
82,120.99609424961233,2298.521268809051,C3H6O3S,-H(-)
83,121.01574761753639,2037.914470382413,C4H10S2,-H(-)
84,121.03225874270996,52447.32235091684,C4H10O2S,-H(-)
85,121.03948953211173,28083.12189632296,C6H6N2O,-H(-)
86,121.06576741239088,6049.071753237993,C8H10O,-H(-)
87,122.02490198478908,6208.765207666689,C6H5NO2,-H(-)
88,124.00761042788059,22711.008771726498,C2H7NO3S,-H(-)
89,124.01786609563796,10488.134993387894,C2H8NO3P,-H(-)
90,124.07745222096642,2939.732698439383,C7H11NO,-H(-)
91,125.00690933709319,5997.509383719655,C6H6OS,-H(-)
92,125.015461919382,5154.836924029356,C7H7Cl,-H(-)
93,125.03580757834648,168322.53887932913,C5H6N2O2,-H(-)
94,125.04706772632322,21879.220144943934,C4H6N4O,-H(-)
95,125.09711974448368,4898.018945201123,C8H14O,-H(-)
96,126.0391033327124,9982.170700310455,C6H9NS,-H(-)
97,126.05442282511844,4466.989386019284,C6H9NO2,-H(-)
98,126.09228735967692,1725.1083150618622,C7H13NO,-H(-)
99,126.9051884948347,4355.838828086664,HI,-H(-)
100,127.04034142653853,10329.348650180786,C6H8O3,-H(-)
101,127.0513664881833,54009.78708628617,C5H8N2O2,-H(-)
102,128.01069059230238,1307.4495364276643,C3H3N3O3,-H(-)
103,128.0353849888874,147425.4260309272,C5H7NO3,-H(-)
104,129.01058334009812,2438.042355091442,C4H3FN2O2,-H(-)
105,129.01877364218123,13079.033141253445,C5H6O4,-H(-)
106,129.03879203355365,10009.34491155841,C6H10OS,-H(-)
107,129.05582499472487,56242.00273415978,C6H10O3,-H(-)
108,129.0919753950805,9049.17072630854,C7H14O2,-H(-)
109,130.0509314470439,21549.199743495505,C5H9NO3,-H(-)
110,130.06702020156604,26895.815392184406,C9H9N,-H(-)
111,130.08750720748287,1386282.138698347,C6H13NO2,-H(-)
112,131.04626472218263,126076.27579667138,C4H8N2O3,-H(-)
113,131.08280241267155,119073.7311182087,C5H12N2O2,-H(-)
