ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,HMDB ids,KEGG ids,other ids
1,57.03386268573475,8655.559296854764,0.0007254142652470819,C3H6O,-H(-),HMDB0001659; HMDB0003366; HMDB0031652; HMDB01659; HMDB03366; HMDB31652,C00207; C00479; C02001,CHEBI:15347; CHEBI:16605; CHEBI:17153
2,59.01323920278728,74165.61436517982,0.0006134972127185279,C2H4O2,-H(-),HMDB0000042; HMDB0003344; HMDB00042; HMDB02165; HMDB03344,C00033; C00266,CHEBI:15366; CHEBI:17071
3,66.03438982384395,546.2627744151241,0.0005326761560411342,C4H5N,-H(-),HMDB0031323; HMDB0035924; HMDB31323; HMDB35924,C19907,; CHEBI:19203
4,67.02969726927297,3306.750936903657,0.00047423072702201807,C3H4N2,-H(-),HMDB0001525; HMDB01525,C01589,CHEBI:16069
5,68.05012666750157,776.6576801765074,0.0004458324984284445,C4H7N,-H(-),HMDB0060246; HMDB60246,,
6,69.03425569348998,2117.07469388166,0.00033240651001165133,C4H6O,-H(-),HMDB0034233; HMDB0061873; HMDB0061874; HMDB34233; HMDB61873; HMDB61874,,; CHEBI:48058
7,70.02947409074748,3599.8045856196554,0.0003630092525099826,C3H5NO,-H(-),HMDB0004296; HMDB04296,C01659,CHEBI:28619
8,71.01347294743522,16072.316944049582,0.00037975256478262054,C3H4O2,-H(-),HMDB0001167; HMDB0006112; HMDB0031647; HMDB01167; HMDB06112; HMDB31647,C00511; C00546; C19440,CHEBI:17158; CHEBI:18308; CHEBI:566274
9,72.9928272340601,1154.4811820383459,0.0002900659398932248,C2H2O3,-H(-),HMDB0000119; HMDB00119,C00048,CHEBI:16891
9,72.9928272340601,1154.4811820383459,0.0002300169164612953,C2H3NS,-H(-) [+1],HMDB0034106; HMDB34106,C18587,CHEBI:78337
10,73.02910332428253,8640.480323980153,0.00039937571746406775,C3H6O2,-H(-),HMDB0000237; HMDB0003052; HMDB0003453; HMDB0006458; HMDB00237; HMDB0031523; HMDB03052; HMDB03453; HMDB06458; HMDB06949; HMDB31523,C00163; C00424; C00937; C00969; C17530,; CHEBI:17167; CHEBI:17871; CHEBI:18041; CHEBI:30768
11,74.02429989233029,28829.375899879742,0.0004518076697053175,C2H5NO2,-H(-),HMDB0000123; HMDB00123; HMDB0014691; HMDB0031239; HMDB14691; HMDB31239,C00037; C06808,; CHEBI:15428; CHEBI:27777
12,75.0086205870274,2040.726230923378,0.00014671297260804295,C2H4O3,-H(-),HMDB0000115; HMDB00115; HMDB0031608; HMDB03035; HMDB31608,C00160,; CHEBI:17497
12,75.0086205870274,2040.726230923378,-0.0008309752109880719,C3H6S,-H(-) [+2],HMDB0031635; HMDB31635,,
13,75.02770065341258,695.3084640484695,-0.0003064534125769569,C3H8S,-H(-),HMDB0031238; HMDB0031634; HMDB0034238; HMDB31238; HMDB31634; HMDB34238,C08390; C08391,; CHEBI:8473; CHEBI:8474
13,75.02770065341258,695.3084640484695,-0.00043319735789282277,C2H5NO2,-H(-) [+1],HMDB0000123; HMDB00123; HMDB0014691; HMDB0031239; HMDB14691; HMDB31239,C00037; C06808,; CHEBI:15428; CHEBI:27777
14,77.0392078894617,1727.7384394623987,0.0004656105382991882,C6H6,-H(-),HMDB0001505; HMDB01505,C01407,CHEBI:16716
15,79.95722471081133,12578.98712160579,0.00013828918865499418,HO3S,-H(-),HMDB0001033; HMDB01033; HMDB03008,C11481,CHEBI:17137
16,80.96300174803815,3783.665902082955,-0.000697348038158907,ClHNO2,-H(-),HMDB0062505; HMDB62505,,
17,81.04546708275168,696.609489049652,0.00035441724831741794,C4H6N2,-H(-),HMDB0015344; HMDB15344,C07837,CHEBI:5141
