sample_col_name,group_label,batch_id,merged_sample_id,sample_type
S1,QC,1,amide::0,qc
S3,1,1,amide::1,formal_or_unknown
S4,1,1,amide::2,formal_or_unknown
S5,1,1,amide::3,formal_or_unknown
S7,1,1,amide::4,formal_or_unknown
S10,QC,1,amide::5,qc
S11,1,1,amide::6,formal_or_unknown
S13,1,1,amide::7,formal_or_unknown
S15,1,1,amide::8,formal_or_unknown
S16,1,1,amide::9,formal_or_unknown
S17,1,1,amide::10,formal_or_unknown
S18,1,1,amide::11,formal_or_unknown
S19,QC,1,amide::12,qc
S20,1,1,amide::13,formal_or_unknown
S21,1,1,amide::14,formal_or_unknown
S22,1,1,amide::15,formal_or_unknown
S23,1,1,amide::16,formal_or_unknown
S24,0,1,amide::17,formal_or_unknown
S26,1,1,amide::18,formal_or_unknown
S28,QC,1,amide::19,qc
S30,1,1,amide::20,formal_or_unknown
S31,1,1,amide::21,formal_or_unknown
S32,1,1,amide::22,formal_or_unknown
S33,1,1,amide::23,formal_or_unknown
S35,1,1,amide::24,formal_or_unknown
S36,0,1,amide::25,formal_or_unknown
S37,QC,1,amide::26,qc
S38,1,1,amide::27,formal_or_unknown
S39,1,1,amide::28,formal_or_unknown
S40,1,1,amide::29,formal_or_unknown
S41,1,1,amide::30,formal_or_unknown
S42,1,1,amide::31,formal_or_unknown
S43,1,1,amide::32,formal_or_unknown
S44,1,1,amide::33,formal_or_unknown
S45,0,1,amide::34,formal_or_unknown
S46,QC,1,amide::35,qc
S47,1,1,amide::36,formal_or_unknown
S48,1,1,amide::37,formal_or_unknown
S49,1,1,amide::38,formal_or_unknown
S50,1,1,amide::39,formal_or_unknown
S51,1,1,amide::40,formal_or_unknown
S52,0,1,amide::41,formal_or_unknown
S53,1,1,amide::42,formal_or_unknown
S54,1,1,amide::43,formal_or_unknown
S55,QC,1,amide::44,qc
S56,0,1,amide::45,formal_or_unknown
S57,1,1,amide::46,formal_or_unknown
S58,1,1,amide::47,formal_or_unknown
S59,1,1,amide::48,formal_or_unknown
S60,1,1,amide::49,formal_or_unknown
S61,1,1,amide::50,formal_or_unknown
S62,1,1,amide::51,formal_or_unknown
S63,1,1,amide::52,formal_or_unknown
S64,QC,1,amide::53,qc
S65,1,1,amide::54,formal_or_unknown
S66,1,1,amide::55,formal_or_unknown
S67,1,1,amide::56,formal_or_unknown
S68,1,1,amide::57,formal_or_unknown
S69,0,1,amide::58,formal_or_unknown
S70,1,1,amide::59,formal_or_unknown
S71,1,1,amide::60,formal_or_unknown
S72,1,1,amide::61,formal_or_unknown
S73,QC,1,amide::62,qc
S74,1,1,amide::63,formal_or_unknown
S75,1,1,amide::64,formal_or_unknown
S76,1,1,amide::65,formal_or_unknown
S77,1,1,amide::66,formal_or_unknown
S78,0,1,amide::67,formal_or_unknown
S79,1,1,amide::68,formal_or_unknown
S80,1,1,amide::69,formal_or_unknown
S81,1,1,amide::70,formal_or_unknown
S82,QC,1,amide::71,qc
S83,1,1,amide::72,formal_or_unknown
S84,1,1,amide::73,formal_or_unknown
S85,1,1,amide::74,formal_or_unknown
S86,1,1,amide::75,formal_or_unknown
S87,1,1,amide::76,formal_or_unknown
S88,1,1,amide::77,formal_or_unknown
S89,0,1,amide::78,formal_or_unknown
S90,1,1,amide::79,formal_or_unknown
S91,QC,1,amide::80,qc
S92,1,1,amide::81,formal_or_unknown
S93,1,1,amide::82,formal_or_unknown
S94,1,1,amide::83,formal_or_unknown
S95,0,1,amide::84,formal_or_unknown
S96,1,1,amide::85,formal_or_unknown
S97,1,1,amide::86,formal_or_unknown
S98,1,1,amide::87,formal_or_unknown
S99,1,1,amide::88,formal_or_unknown
S100,QC,1,amide::89,qc
S101,1,1,amide::90,formal_or_unknown
S102,1,1,amide::91,formal_or_unknown
S103,1,1,amide::92,formal_or_unknown
S104,1,1,amide::93,formal_or_unknown
S105,1,1,amide::94,formal_or_unknown
S106,1,1,amide::95,formal_or_unknown
S107,0,1,amide::96,formal_or_unknown
S109,QC,1,amide::97,qc
S110,0,1,amide::98,formal_or_unknown
S112,1,1,amide::99,formal_or_unknown
S113,1,1,amide::100,formal_or_unknown
S114,1,1,amide::101,formal_or_unknown
S115,1,1,amide::102,formal_or_unknown
S116,1,1,amide::103,formal_or_unknown
S117,1,1,amide::104,formal_or_unknown
S118,QC,1,amide::105,qc
S119,1,1,amide::106,formal_or_unknown
S120,1,1,amide::107,formal_or_unknown
S121,1,1,amide::108,formal_or_unknown
S122,1,1,amide::109,formal_or_unknown
S123,1,1,amide::110,formal_or_unknown
S124,1,1,amide::111,formal_or_unknown
S125,0,1,amide::112,formal_or_unknown
S126,1,1,amide::113,formal_or_unknown
S127,QC,1,amide::114,qc
S128,1,1,amide::115,formal_or_unknown
S129,0,1,amide::116,formal_or_unknown
S130,1,1,amide::117,formal_or_unknown
S131,1,1,amide::118,formal_or_unknown
S132,1,1,amide::119,formal_or_unknown
S133,1,1,amide::120,formal_or_unknown
S134,1,1,amide::121,formal_or_unknown
S135,1,1,amide::122,formal_or_unknown
S136,QC,1,amide::123,qc
S137,0,1,amide::124,formal_or_unknown
S138,1,1,amide::125,formal_or_unknown
S139,1,1,amide::126,formal_or_unknown
S140,1,1,amide::127,formal_or_unknown
S141,1,1,amide::128,formal_or_unknown
S142,1,1,amide::129,formal_or_unknown
S143,1,1,amide::130,formal_or_unknown
S144,1,1,amide::131,formal_or_unknown
S145,QC,1,amide::132,qc
S146,0,1,amide::133,formal_or_unknown
S147,1,1,amide::134,formal_or_unknown
S148,1,1,amide::135,formal_or_unknown
S149,1,1,amide::136,formal_or_unknown
S150,1,1,amide::137,formal_or_unknown
S151,1,1,amide::138,formal_or_unknown
S152,1,1,amide::139,formal_or_unknown
S153,1,1,amide::140,formal_or_unknown
S154,QC,1,amide::141,qc
S155,1,1,amide::142,formal_or_unknown
S156,1,1,amide::143,formal_or_unknown
S157,1,1,amide::144,formal_or_unknown
S158,1,1,amide::145,formal_or_unknown
S159,1,1,amide::146,formal_or_unknown
S160,0,1,amide::147,formal_or_unknown
S161,1,1,amide::148,formal_or_unknown
S162,1,1,amide::149,formal_or_unknown
S163,QC,1,amide::150,qc
S164,1,1,amide::151,formal_or_unknown
S165,1,1,amide::152,formal_or_unknown
S166,1,1,amide::153,formal_or_unknown
S167,1,1,amide::154,formal_or_unknown
S168,1,1,amide::155,formal_or_unknown
