sample_col_name,group_label,batch_id,merged_sample_id,sample_type
Pool,QC,1,bioheart::0,qc
Pool,QC,1,bioheart::1,qc
1,0,1,bioheart::2,formal_or_unknown
3,0,1,bioheart::3,formal_or_unknown
21,0,1,bioheart::4,formal_or_unknown
22,1,1,bioheart::5,formal_or_unknown
23,0,1,bioheart::6,formal_or_unknown
25,1,1,bioheart::7,formal_or_unknown
26,1,1,bioheart::8,formal_or_unknown
28,1,1,bioheart::9,formal_or_unknown
Pool,QC,1,bioheart::10,qc
47,0,1,bioheart::11,formal_or_unknown
48,0,1,bioheart::12,formal_or_unknown
49,0,1,bioheart::13,formal_or_unknown
50,0,1,bioheart::14,formal_or_unknown
51,0,1,bioheart::15,formal_or_unknown
53,1,1,bioheart::16,formal_or_unknown
55,0,1,bioheart::17,formal_or_unknown
Pool,QC,1,bioheart::18,qc
56,0,1,bioheart::19,formal_or_unknown
59,0,1,bioheart::20,formal_or_unknown
60,0,1,bioheart::21,formal_or_unknown
61,1,1,bioheart::22,formal_or_unknown
63,0,1,bioheart::23,formal_or_unknown
Pool,QC,1,bioheart::24,qc
66,0,1,bioheart::25,formal_or_unknown
67,0,1,bioheart::26,formal_or_unknown
68,1,1,bioheart::27,formal_or_unknown
69,1,1,bioheart::28,formal_or_unknown
70,1,1,bioheart::29,formal_or_unknown
62,1,1,bioheart::30,formal_or_unknown
71,1,1,bioheart::31,formal_or_unknown
72,0,1,bioheart::32,formal_or_unknown
75,0,1,bioheart::33,formal_or_unknown
Pool,QC,1,bioheart::34,qc
76,0,1,bioheart::35,formal_or_unknown
77,0,1,bioheart::36,formal_or_unknown
78,0,1,bioheart::37,formal_or_unknown
79,1,1,bioheart::38,formal_or_unknown
80,0,1,bioheart::39,formal_or_unknown
67,0,1,bioheart::40,formal_or_unknown
82,0,1,bioheart::41,formal_or_unknown
83,1,1,bioheart::42,formal_or_unknown
84,0,1,bioheart::43,formal_or_unknown
Pool,QC,1,bioheart::44,qc
85,0,1,bioheart::45,formal_or_unknown
86,1,1,bioheart::46,formal_or_unknown
87,1,1,bioheart::47,formal_or_unknown
81,1,1,bioheart::48,formal_or_unknown
88,0,1,bioheart::49,formal_or_unknown
89,1,1,bioheart::50,formal_or_unknown
90,0,1,bioheart::51,formal_or_unknown
92,1,1,bioheart::52,formal_or_unknown
93,1,1,bioheart::53,formal_or_unknown
95,0,1,bioheart::54,formal_or_unknown
Pool,QC,1,bioheart::55,qc
90,0,1,bioheart::56,formal_or_unknown
96,0,1,bioheart::57,formal_or_unknown
97,1,1,bioheart::58,formal_or_unknown
98,0,1,bioheart::59,formal_or_unknown
99,0,1,bioheart::60,formal_or_unknown
100,1,1,bioheart::61,formal_or_unknown
101,1,1,bioheart::62,formal_or_unknown
102,1,1,bioheart::63,formal_or_unknown
103,0,1,bioheart::64,formal_or_unknown
104,1,1,bioheart::65,formal_or_unknown
Pool,QC,1,bioheart::66,qc
106,0,1,bioheart::67,formal_or_unknown
107,1,1,bioheart::68,formal_or_unknown
108,1,1,bioheart::69,formal_or_unknown
111,0,1,bioheart::70,formal_or_unknown
112,0,1,bioheart::71,formal_or_unknown
113,0,1,bioheart::72,formal_or_unknown
103,0,1,bioheart::73,formal_or_unknown
114,0,1,bioheart::74,formal_or_unknown
115,0,1,bioheart::75,formal_or_unknown
116,0,1,bioheart::76,formal_or_unknown
Pool,QC,1,bioheart::77,qc
Pool,QC,2,bioheart::78,qc
Pool,QC,2,bioheart::79,qc
Pool,QC,2,bioheart::80,qc
74,0,2,bioheart::81,formal_or_unknown
66,0,2,bioheart::82,formal_or_unknown
55,0,2,bioheart::83,formal_or_unknown
46,1,2,bioheart::84,formal_or_unknown
89,1,2,bioheart::85,formal_or_unknown
117,1,2,bioheart::86,formal_or_unknown
115,0,2,bioheart::87,formal_or_unknown
118,0,2,bioheart::88,formal_or_unknown
119,1,2,bioheart::89,formal_or_unknown
120,0,2,bioheart::90,formal_or_unknown
Pool,QC,2,bioheart::91,qc
121,0,2,bioheart::92,formal_or_unknown
123,0,2,bioheart::93,formal_or_unknown
124,1,2,bioheart::94,formal_or_unknown
125,0,2,bioheart::95,formal_or_unknown
126,0,2,bioheart::96,formal_or_unknown
127,0,2,bioheart::97,formal_or_unknown
119,1,2,bioheart::98,formal_or_unknown
28,1,2,bioheart::99,formal_or_unknown
128,0,2,bioheart::100,formal_or_unknown
129,0,2,bioheart::101,formal_or_unknown
Pool,QC,2,bioheart::102,qc
130,0,2,bioheart::103,formal_or_unknown
131,0,2,bioheart::104,formal_or_unknown
132,1,2,bioheart::105,formal_or_unknown
133,1,2,bioheart::106,formal_or_unknown
134,0,2,bioheart::107,formal_or_unknown
123,0,2,bioheart::108,formal_or_unknown
135,0,2,bioheart::109,formal_or_unknown
137,0,2,bioheart::110,formal_or_unknown
138,1,2,bioheart::111,formal_or_unknown
